Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
HMM_V2_O2,L1_H1_D16_standard_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,HMM,2,2,standard,False,absolute,True,1,1,16,0.0001,0.695282,0.693370,0.695282,0.013454
HMM_V2_O2,L1_H2_D16_standard_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,HMM,2,2,standard,False,absolute,True,1,2,16,0.0001,0.687909,0.687260,0.687909,0.003031
HMM_V2_O2,L1_H1_D16_standard_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,HMM,2,2,standard,False,absolute,False,1,1,16,0.0001,0.714459,0.718093,0.714459,0.099103
HMM_V2_O2,L1_H2_D16_standard_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,HMM,2,2,standard,False,absolute,False,1,2,16,0.0001,0.858240,0.862249,0.858240,0.212639
HMM_V2_O2,L1_H1_D16_standard_AttnOnlyFalse_PE-rpe_ResTrue_LR0.0001,HMM,2,2,standard,False,rpe,True,1,1,16,0.0001,1.474055,1.452263,1.474055,0.877429
HMM_V2_O2,L1_H2_D16_standard_AttnOnlyFalse_PE-rpe_ResTrue_LR0.0001,HMM,2,2,standard,False,rpe,True,1,2,16,0.0001,0.986600,0.979732,0.986600,0.439320
HMM_V2_O2,L1_H1_D16_standard_AttnOnlyFalse_PE-rpe_ResFalse_LR0.0001,HMM,2,2,standard,False,rpe,False,1,1,16,0.0001,0.393136,0.391637,0.393136,0.104591
HMM_V2_O2,L1_H2_D16_standard_AttnOnlyFalse_PE-rpe_ResFalse_LR0.0001,HMM,2,2,standard,False,rpe,False,1,2,16,0.0001,0.775960,0.787697,0.775960,0.137233
HMM_V2_O2,L1_H1_D16_standard_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,HMM,2,2,standard,False,rope,True,1,1,16,0.0001,0.662072,0.659486,0.662072,0.011636
HMM_V2_O2,L1_H2_D16_standard_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,HMM,2,2,standard,False,rope,True,1,2,16,0.0001,0.724326,0.730189,0.724326,0.042034
