Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
standard,2,2,rope,False,False,3e-05,1.58167,1.5844,1.58167,0.60009
standard,1,2,absolute,False,False,0.0005,1.42494,1.42622,1.42494,0.60315
standard,2,2,rope,False,False,0.0001,1.32118,1.30139,1.32118,0.60453
standard,2,2,rpe,False,False,0.0001,1.44438,1.4417,1.44438,0.61667
standard,1,2,rpe,True,False,3e-05,1.39219,1.38681,1.39219,0.62408
standard,2,2,absolute,False,True,0.0005,1.5189,1.50132,1.5189,0.63886
standard,1,2,rpe,True,True,0.0001,1.65382,1.65051,1.65382,0.63908
standard,1,1,rpe,True,True,0.0001,1.43032,1.44397,1.43032,0.64032
standard,2,1,rope,True,True,0.0005,1.49652,1.50125,1.49652,0.64769
standard,1,2,absolute,True,True,0.0001,1.57251,1.58862,1.57251,0.64879
standard,1,2,rope,True,True,0.0001,1.50362,1.48219,1.50362,0.65936
standard,2,2,rpe,False,True,3e-05,1.64078,1.60067,1.64078,0.66372
standard,2,2,absolute,False,True,3e-05,1.57537,1.56794,1.57537,0.66849
standard,2,2,absolute,True,True,3e-05,1.48604,1.45926,1.48604,0.67029
standard,2,1,rpe,False,True,0.0001,1.53375,1.54007,1.53375,0.67504
standard,1,1,absolute,False,False,0.0001,1.46178,1.46362,1.46178,0.67683
standard,2,1,rope,True,False,3e-05,1.5476,1.55709,1.5476,0.67808
standard,1,2,rpe,True,True,0.0005,1.55662,1.58302,1.55662,0.68273
standard,1,2,absolute,True,False,0.0001,1.66977,1.64945,1.66977,0.69489
standard,1,1,absolute,True,False,3e-05,1.50906,1.51991,1.50906,0.69524
standard,1,2,rope,False,False,0.0005,1.58692,1.59309,1.58692,0.70124
standard,1,2,rope,False,False,3e-05,1.37506,1.3764,1.37506,0.70213
standard,1,1,rope,False,True,3e-05,1.65552,1.64725,1.65552,0.70337
standard,2,1,rope,False,True,0.0001,1.57882,1.56702,1.57882,0.70862
standard,1,1,absolute,True,False,0.0001,1.44633,1.44742,1.44633,0.70901
standard,1,2,rope,True,True,3e-05,1.68484,1.68013,1.68484,0.71362
